trial,voltage_art1,voltage_room1,voltage_dark1,current_art1,current_room1,current_dark1,voltage_art2,voltage_room2,voltage_dark2,current_art2,current_room2,current_dark2
1,2.07,1.87,0.03,0.39,0.07,0.00,2.29,1.79,0.06,0.27,0.05,0.00
2,2.12,1.85,0.02,0.36,0.07,0.00,2.09,1.85,0.10,0.26,0.05,0.00
3,2.28,1.85,0.02,0.36,0.07,0.00,2.06,1.86,0.07,0.24,0.04,0.00
4,2.36,1.85,0.03,0.37,0.07,0.00,2.25,1.85,0.07,0.25,0.05,0.00
5,2.33,1.85,0.02,0.41,0.07,0.00,2.28,1.82,0.11,0.25,0.05,0.00
6,2.34,1.85,0.02,0.37,0.07,0.00,2.32,1.85,0.13,0.26,0.04,0.00
7,2.32,1.85,0.02,0.50,0.07,0.00,2.26,1.85,0.09,0.27,0.04,0.00
8,2.26,1.85,0.02,0.38,0.07,0.00,2.22,1.85,0.08,0.24,0.04,0.00
9,2.28,1.85,0.02,0.39,0.07,0.00,2.23,1.84,0.13,0.25,0.04,0.00
10,2.19,1.85,0.02,0.37,0.07,0.00,2.23,1.85,0.12,0.25,0.04,0.00
,,,,,,,,,,,,
